size, block_size, success, time
33, 49, 0.110000, 0.174412
33, 51, 0.120000, 0.179314
33, 53, 0.240000, 0.181706
35, 5, 0.280000, 0.051402
35, 7, 0.110000, 0.058897
35, 9, 0.120000, 0.065228
35, 11, 0.320000, 0.069646
35, 13, 0.320000, 0.074896
35, 15, 0.040000, 0.082008
35, 17, 0.280000, 0.085127
35, 19, 0.300000, 0.090524
35, 21, 0.030000, 0.100555
35, 23, 0.270000, 0.101159
35, 25, 0.290000, 0.106769
35, 27, 0.080000, 0.113476
35, 29, 0.260000, 0.116971
35, 31, 0.170000, 0.124117
35, 33, 0.060000, 0.149530
35, 35, 0.190000, 0.157004
35, 37, 0.340000, 0.160246
35, 39, 0.080000, 0.170476
35, 41, 0.220000, 0.173410
35, 43, 0.300000, 0.180441
35, 45, 0.010000, 0.194047
35, 47, 0.280000, 0.211581
35, 49, 0.080000, 0.207331
35, 51, 0.100000, 0.212540
35, 53, 0.360000, 0.214535
37, 5, 0.190000, 0.060533
37, 7, 0.110000, 0.068895
37, 9, 0.100000, 0.076335
37, 11, 0.310000, 0.081820
37, 13, 0.300000, 0.088177
37, 15, 0.090000, 0.096189
37, 17, 0.330000, 0.100198
37, 19, 0.260000, 0.106640
37, 21, 0.050000, 0.115756
37, 23, 0.250000, 0.118777
37, 25, 0.250000, 0.125020
37, 27, 0.090000, 0.133945
37, 29, 0.280000, 0.137018
37, 31, 0.160000, 0.145547
37, 33, 0.070000, 0.176142
37, 35, 0.120000, 0.183649
37, 37, 0.240000, 0.188046
37, 39, 0.200000, 0.199114
37, 41, 0.320000, 0.203846
37, 43, 0.220000, 0.210997
37, 45, 0.060000, 0.225209
37, 47, 0.260000, 0.226438
37, 49, 0.130000, 0.239986
37, 51, 0.090000, 0.247873
37, 53, 0.260000, 0.249897
39, 5, 0.320000, 0.070363
39, 7, 0.100000, 0.080128
39, 9, 0.070000, 0.088224
39, 11, 0.300000, 0.094405
39, 13, 0.220000, 0.101621
39, 15, 0.070000, 0.111391
39, 17, 0.350000, 0.116028
39, 19, 0.240000, 0.122974
39, 21, 0.030000, 0.134198
39, 23, 0.190000, 0.137344
39, 25, 0.190000, 0.144514
39, 27, 0.120000, 0.154521
39, 29, 0.230000, 0.158950
39, 31, 0.120000, 0.168470
39, 33, 0.100000, 0.203203
39, 35, 0.110000, 0.214449
39, 37, 0.260000, 0.218955
39, 39, 0.160000, 0.230977
39, 41, 0.340000, 0.236776
39, 43, 0.250000, 0.246577
39, 45, 0.070000, 0.265326
39, 47, 0.230000, 0.264773
39, 49, 0.070000, 0.278360
39, 51, 0.090000, 0.296741
39, 53, 0.340000, 0.288853
41, 5, 0.180000, 0.080468
41, 7, 0.150000, 0.104436
41, 9, 0.070000, 0.100646
41, 11, 0.320000, 0.108549
41, 13, 0.180000, 0.116819
41, 15, 0.040000, 0.126227
41, 17, 0.270000, 0.133866
41, 19, 0.270000, 0.143644
41, 21, 0.030000, 0.152987
41, 23, 0.270000, 0.157234
41, 25, 0.180000, 0.167268
41, 27, 0.130000, 0.178294
41, 29, 0.230000, 0.182302
41, 31, 0.240000, 0.192292
41, 33, 0.100000, 0.232116
41, 35, 0.080000, 0.243085
41, 37, 0.270000, 0.249688
41, 39, 0.120000, 0.265592
41, 41, 0.290000, 0.273293
41, 43, 0.310000, 0.281486
41, 45, 0.020000, 0.298793
41, 47, 0.300000, 0.302334
41, 49, 0.150000, 0.316790
41, 51, 0.080000, 0.328593
41, 53, 0.280000, 0.342191
43, 5, 0.210000, 0.093503
43, 7, 0.180000, 0.110655
43, 9, 0.070000, 0.123363
43, 11, 0.320000, 0.127619
43, 13, 0.310000, 0.135191
43, 15, 0.020000, 0.155688
43, 17, 0.250000, 0.161604
43, 19, 0.230000, 0.169023
43, 21, 0.030000, 0.187808
43, 23, 0.410000, 0.192787
43, 25, 0.200000, 0.198618
43, 27, 0.160000, 0.205581
43, 29, 0.290000, 0.227486
43, 31, 0.110000, 0.227781
43, 33, 0.080000, 0.265611
43, 35, 0.100000, 0.279477
43, 37, 0.290000, 0.286778
43, 39, 0.110000, 0.301173
43, 41, 0.310000, 0.310126
43, 43, 0.290000, 0.322390
43, 45, 0.060000, 0.343373
43, 47, 0.300000, 0.346392
43, 49, 0.110000, 0.362929
43, 51, 0.060000, 0.374410
43, 53, 0.310000, 0.382043
45, 5, 0.250000, 0.105170
45, 7, 0.140000, 0.119990
45, 9, 0.100000, 0.131867
45, 11, 0.250000, 0.141607
45, 13, 0.290000, 0.151813
45, 15, 0.040000, 0.165411
45, 17, 0.300000, 0.173477
45, 19, 0.300000, 0.184652
45, 21, 0.040000, 0.199363
45, 23, 0.290000, 0.205043
