size, block_size, success
75, 15, 0.080000
75, 17, 0.200000
75, 19, 0.180000
75, 21, 0.040000
75, 23, 0.300000
75, 25, 0.290000
75, 27, 0.030000
75, 29, 0.270000
75, 31, 0.150000
75, 33, 0.130000
75, 35, 0.090000
75, 37, 0.330000
75, 39, 0.060000
75, 41, 0.360000
75, 43, 0.380000
75, 45, 0.060000
75, 47, 0.250000
75, 49, 0.100000
75, 51, 0.060000
75, 53, 0.300000
77, 5, 0.160000
77, 7, 0.100000
77, 9, 0.100000
77, 11, 0.280000
77, 13, 0.260000
77, 15, 0.040000
77, 17, 0.290000
77, 19, 0.210000
77, 21, 0.030000
77, 23, 0.310000
77, 25, 0.280000
77, 27, 0.120000
77, 29, 0.230000
77, 31, 0.180000
77, 33, 0.080000
77, 35, 0.100000
77, 37, 0.280000
77, 39, 0.100000
77, 41, 0.300000
77, 43, 0.220000
77, 45, 0.010000
77, 47, 0.310000
77, 49, 0.120000
77, 51, 0.060000
77, 53, 0.340000
79, 5, 0.270000
79, 7, 0.140000
79, 9, 0.170000
79, 11, 0.310000
79, 13, 0.310000
79, 15, 0.020000
79, 17, 0.230000
79, 19, 0.330000
79, 21, 0.050000
79, 23, 0.220000
79, 25, 0.230000
79, 27, 0.150000
79, 29, 0.250000
79, 31, 0.160000
79, 33, 0.160000
79, 35, 0.080000
79, 37, 0.260000
79, 39, 0.160000
79, 41, 0.240000
79, 43, 0.300000
79, 45, 0.020000
79, 47, 0.320000
79, 49, 0.090000
79, 51, 0.120000
79, 53, 0.250000
81, 5, 0.300000
81, 7, 0.160000
81, 9, 0.080000
81, 11, 0.320000
81, 13, 0.260000
81, 15, 0.040000
81, 17, 0.280000
81, 19, 0.320000
81, 21, 0.030000
81, 23, 0.280000
81, 25, 0.300000
81, 27, 0.110000
81, 29, 0.230000
81, 31, 0.210000
81, 33, 0.080000
81, 35, 0.130000
81, 37, 0.320000
81, 39, 0.120000
81, 41, 0.330000
81, 43, 0.320000
81, 45, 0.050000
81, 47, 0.320000
81, 49, 0.140000
81, 51, 0.090000
81, 53, 0.290000
83, 5, 0.250000
83, 7, 0.130000
83, 9, 0.120000
83, 11, 0.230000
83, 13, 0.310000
83, 15, 0.050000
83, 17, 0.300000
83, 19, 0.250000
83, 21, 0.040000
